"Czas","Bardzo zimny dzień 09.01.2024","Zimny dzień 12.01.2024","Chłodny dzień 30.01.2024"
"00:00 - 00:10",-11.2,-2.4,-1.7
"00:10 - 00:20",-11.2,-2.4,-1.6
"00:20 - 00:30",-11.3,-2.3,-1.8
"00:30 - 00:40",-11.3,-2.3,-1.9
"00:40 - 00:50",-11.5,-2.3,-1.9
"00:50 - 01:00",-11.7,-2.2,-1.9
"01:00 - 01:10",-11.7,-2.2,-2
"01:10 - 01:20",-11.7,-2.2,-2.2
"01:20 - 01:30",-12.1,-2.1,-2.2
"01:30 - 01:40",-12.1,-2.1,-2.3
"01:40 - 01:50",-12.2,-2.1,-2.3
"01:50 - 02:00",-12.4,-2,-2.2
"02:00 - 02:10",-12.4,-2,-2.4
"02:10 - 02:20",-12.5,-2,-2.5
"02:20 - 02:30",-12.6,-2,-2.5
"02:30 - 02:40",-12.6,-1.9,-2.6
"02:40 - 02:50",-12.5,-1.9,-2.4
"02:50 - 03:00",-12.6,-1.9,-2.6
"03:00 - 03:10",-12.8,-1.9,-2.5
"03:10 - 03:20",-12.9,-1.9,-2.5
"03:20 - 03:30",-12.8,-1.9,-2.4
"03:30 - 03:40",-13,-1.9,-2.6
"03:40 - 03:50",-13.1,-1.9,-2.5
"03:50 - 04:00",-12.7,-1.8,-2.5
"04:00 - 04:10",-12.8,-1.8,-2.7
"04:10 - 04:20",-12.8,-1.8,-2.7
"04:20 - 04:30",-12.9,-1.8,-2.8
"04:30 - 04:40",-12.9,-1.8,-2.8
"04:40 - 04:50",-13,-1.8,-2.7
"04:50 - 05:00",-13,-1.8,-2.7
"05:00 - 05:10",-13.2,-1.7,-2.7
"05:10 - 05:20",-13.2,-1.7,-2.9
"05:20 - 05:30",-13.1,-1.7,-2.9
"05:30 - 05:40",-12.9,-1.7,-2.7
"05:40 - 05:50",-13,-1.7,-2.8
"05:50 - 06:00",-12.7,-1.7,-2.9
"06:00 - 06:10",-12.3,-1.7,-2.9
"06:10 - 06:20",-12.3,-1.6,-2.9
"06:20 - 06:30",-12.2,-1.6,-2.8
"06:30 - 06:40",-12.1,-1.6,-3.1
"06:40 - 06:50",-12.2,-1.6,-3.1
"06:50 - 07:00",-12.3,-1.6,-2.9
"07:00 - 07:10",-12.4,-1.6,-2.7
"07:10 - 07:20",-12.3,-1.6,-2.6
"07:20 - 07:30",-12.3,-1.7,-2.3
"07:30 - 07:40",-12,-1.7,-1.8
"07:40 - 07:50",-11.9,-1.7,-1.5
"07:50 - 08:00",-11.7,-1.6,-1.1
"08:00 - 08:10",-11.6,-1.6,-0.3
"08:10 - 08:20",-11.5,-1.6,0
"08:20 - 08:30",-11.3,-1.6,1.2
"08:30 - 08:40",-11.4,-1.6,2
"08:40 - 08:50",-11.3,-1.6,4
"08:50 - 09:00",-11.3,-1.5,4.3
"09:00 - 09:10",-11.1,-1.5,5
"09:10 - 09:20",-10.8,-1.5,5.4
"09:20 - 09:30",-10.8,-1.5,6.1
"09:30 - 09:40",-10.6,-1.5,6.4
"09:40 - 09:50",-10.4,-1.4,6.8
"09:50 - 10:00",-10.2,-1.3,7.3
"10:00 - 10:10",-10.1,-1.1,7.4
"10:10 - 10:20",-9.9,-1,7.6
